Sample	Unique Reads	Duplicate Reads
PDAC200Tkf1_fwd	45130125.0	34005108.0
PDAC200Tkf1_rev	44752341.0	34382892.0
PDAC201T_F8-9kf1_fwd	18473994.0	31895140.0
PDAC201T_F8-9kf1_rev	17740636.0	32628498.0
PDAC201Tkf1_fwd	46718282.0	85845732.0
PDAC201Tkf1_rev	47268561.0	85295453.0
PDAC202T_F8-9kf1_fwd	24268817.0	21898568.0
PDAC202T_F8-9kf1_rev	23175229.0	22992156.0
PDAC202Tkf1_fwd	43740046.0	53211733.0
PDAC202Tkf1_rev	43425539.0	53526240.0
PDAC203T_F8-9kf1_fwd	14587895.0	29177215.0
PDAC203T_F8-9kf1_rev	14448958.0	29316152.0
PDAC203Tkf1_fwd	40658198.0	38003952.0
PDAC203Tkf1_rev	40655062.0	38007088.0
PDAC204T_F8-9kf1_fwd	12105726.0	15610865.0
PDAC204T_F8-9kf1_rev	12038054.0	15678537.0
PDAC204Tkf1_fwd	40326222.0	48711471.0
PDAC204Tkf1_rev	39483929.0	49553764.0
PDAC205T_F8-9kf1_fwd	22649470.0	31626278.0
PDAC205T_F8-9kf1_rev	21474519.0	32801229.0
PDAC205Tkf1_fwd	30033607.0	44346052.0
PDAC205Tkf1_rev	32320787.0	42058872.0
PDAC206T_F8-9kf1_fwd	15586956.0	20540968.0
PDAC206T_F8-9kf1_rev	15532298.0	20595626.0
PDAC206Tkf1_fwd	46443291.0	100754109.0
PDAC206Tkf1_rev	45497175.0	101700225.0
PDAC207T_F8-9kf1_fwd	30951797.0	19987466.0
PDAC207T_F8-9kf1_rev	31561653.0	19377610.0
PDAC207Tkf1_fwd	35511990.0	32606780.0
PDAC207Tkf1_rev	35449546.0	32669224.0
PDAC208T_F8-9kf1_fwd	12552817.0	24911729.0
PDAC208T_F8-9kf1_rev	13089567.0	24374979.0
PDAC208Tkf1_fwd	37749045.0	56048758.0
PDAC208Tkf1_rev	41513084.0	52284719.0
PDAC209T_F8-9kf1_fwd	17220663.0	18331165.0
PDAC209T_F8-9kf1_rev	16290500.0	19261328.0
PDAC209Tkf1_fwd	32022420.0	45004112.0
PDAC209Tkf1_rev	31970738.0	45055794.0
PDAC210T_F8-9kf1_fwd	12787197.0	23466305.0
PDAC210T_F8-9kf1_rev	13426587.0	22826915.0
PDAC210Tkf1_fwd	28379946.0	42274648.0
PDAC210Tkf1_rev	30965880.0	39688714.0
PDAC211T_F8-9kf1_fwd	20441515.0	19925431.0
PDAC211T_F8-9kf1_rev	19855703.0	20511243.0
PDAC211Tkf1_fwd	43544889.0	62450406.0
PDAC211Tkf1_rev	43466670.0	62528625.0
PDAC212T_F8-9kf1_fwd	20786470.0	30614740.0
PDAC212T_F8-9kf1_rev	19809589.0	31591621.0
PDAC213T_F8-9kf1_fwd	11521492.0	15496812.0
PDAC213T_F8-9kf1_rev	11245144.0	15773160.0
PDAC213Tkf1_fwd	37420419.0	59810957.0
PDAC213Tkf1_rev	36582023.0	60649353.0
PDAC214T_F8-9kf1_fwd	13128681.0	24583286.0
PDAC214T_F8-9kf1_rev	13078152.0	24633815.0
PDAC214Tkf1_fwd	24352460.0	26557160.0
