Sample	Unique Reads	Duplicate Reads
PDAC214Tkf1_rev	24005392.0	26904228.0
PDAC215T_F8-9kf1_fwd	4628251.0	14445091.0
PDAC215T_F8-9kf1_rev	4906662.0	14166680.0
PDAC215Tkf1_fwd	41513066.0	60681478.0
PDAC215Tkf1_rev	41792663.0	60401881.0
PDAC216T_F8-9kf1_fwd	14840442.0	16056182.0
PDAC216T_F8-9kf1_rev	13720865.0	17175759.0
PDAC216Tkf1_fwd	37247735.0	51656298.0
PDAC216Tkf1_rev	37008436.0	51895597.0
PDAC217T_F8-9kf1_fwd	11869770.0	19318938.0
PDAC217T_F8-9kf1_rev	11781520.0	19407188.0
PDAC217Tkf1_fwd	25048738.0	43365384.0
PDAC217Tkf1_rev	24955169.0	43458953.0
PDAC218T_F8-9kf1_fwd	18240466.0	25120893.0
PDAC218T_F8-9kf1_rev	17327751.0	26033608.0
PDAC218Tkf1_fwd	22501066.0	54353520.0
PDAC218Tkf1_rev	22780941.0	54073645.0
PDAC219T_F8-9kf1_fwd	12880502.0	13083059.0
PDAC219T_F8-9kf1_rev	13040945.0	12922616.0
PDAC219Tkf1_fwd	42016812.0	58096702.0
PDAC219Tkf1_rev	41135198.0	58978316.0
PDAC220T_F8-9kf1_fwd	6811760.0	25083716.0
PDAC220T_F8-9kf1_rev	7397741.0	24497735.0
PDAC220Tkf1_fwd	34211640.0	59386508.0
PDAC220Tkf1_rev	34116326.0	59481822.0
PDAC221T_F8-9kf1_fwd	9576155.0	16200477.0
PDAC221T_F8-9kf1_rev	9569474.0	16207158.0
PDAC221Tkf1_fwd	27396778.0	55094416.0
PDAC221Tkf1_rev	29550310.0	52940884.0
PDAC222T_F8-9kf1_fwd	11956462.0	24007386.0
PDAC222T_F8-9kf1_rev	11804143.0	24159705.0
PDAC222Tkf1_fwd	29765188.0	61545518.0
PDAC222Tkf1_rev	27707895.0	63602811.0
PDAC223T_F8-9kf1_fwd	11940310.0	11330712.0
PDAC223T_F8-9kf1_rev	11471868.0	11799154.0
PDAC223Tkf1_fwd	34928781.0	45270370.0
PDAC223Tkf1_rev	34028151.0	46171000.0
PDAC224T_F8-9kf1_fwd	23132130.0	31301883.0
PDAC224T_F8-9kf1_rev	21944631.0	32489382.0
PDAC224Tkf1_fwd	26924605.0	51440802.0
PDAC224Tkf1_rev	27116994.0	51248413.0
PDAC225T_F8-9kf1_fwd	20909748.0	22599261.0
PDAC225T_F8-9kf1_rev	19904844.0	23604165.0
PDAC225Tkf1_fwd	37650547.0	52244906.0
PDAC225Tkf1_rev	37513418.0	52382035.0
PDAC226T_F8-9kf1_fwd	8919101.0	24590192.0
PDAC226T_F8-9kf1_rev	9805771.0	23703522.0
PDAC226Tkf1_fwd	40489324.0	64256367.0
PDAC226Tkf1_rev	41093497.0	63652194.0
PDAC227T_F8-9kf1_fwd	18156685.0	24020283.0
PDAC227T_F8-9kf1_rev	16601608.0	25575360.0
PDAC227Tkf1_fwd	20740295.0	23734767.0
PDAC227Tkf1_rev	20055714.0	24419348.0
