Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PDAC200Tkf1_fwd	0.30665860300177544	1.510840310535258
PDAC200Tkf1_rev	0.17012649725818083	0.45081563100976774
PDAC201T_F8-9kf1_fwd	3.6960293976862895	3.367336035596722
PDAC201T_F8-9kf1_rev	1.3687886712525175	2.054696830801181
PDAC201Tkf1_fwd	1.0064209431678797	7.455730783770624
PDAC201Tkf1_rev	0.2787144028393709	4.696546077731172
PDAC202T_F8-9kf1_fwd	0.0	0.0
PDAC202T_F8-9kf1_rev	0.0	0.0
PDAC202Tkf1_fwd	0.5484685330013388	1.539087797450318
PDAC202Tkf1_rev	0.16772874275984148	0.3578253061246045
PDAC203T_F8-9kf1_fwd	8.236117765955575	6.911053119711109
PDAC203T_F8-9kf1_rev	3.023419797185475	7.635049929041648
PDAC203Tkf1_fwd	0.5143541080430678	3.4382317289827453
PDAC203Tkf1_rev	0.20957474465165266	1.6893143652951261
PDAC204T_F8-9kf1_fwd	0.6801485795998505	3.1542010343191187
PDAC204T_F8-9kf1_rev	0.24147991360120732	1.6742787740382643
PDAC204Tkf1_fwd	0.6060601772330287	2.777832529870243
PDAC204Tkf1_rev	0.23881571145379968	1.4004125196729884
PDAC205T_F8-9kf1_fwd	2.2202052378900423	1.6570494799997966
PDAC205T_F8-9kf1_rev	0.7519638421196885	0.47910532711589726
PDAC205Tkf1_fwd	1.5217278691745548	8.527984781430634
PDAC205Tkf1_rev	0.44404075582008246	5.851562185839009
PDAC206T_F8-9kf1_fwd	2.4167123469369565	0.4037375632211804
PDAC206T_F8-9kf1_rev	0.7009674843204386	0.11711162811347808
PDAC206Tkf1_fwd	0.8195756175041135	1.8065013376594967
PDAC206Tkf1_rev	0.41804610679264714	1.1489584734512974
PDAC207T_F8-9kf1_fwd	1.2376347101841658	2.7904938475454593
PDAC207T_F8-9kf1_rev	0.557923266380984	1.2914517432260455
PDAC207Tkf1_fwd	0.8962126004330377	9.190732598371927
PDAC207Tkf1_rev	0.451059230811126	7.634698923659364
PDAC208T_F8-9kf1_fwd	10.876018623046974	4.047063589133042
PDAC208T_F8-9kf1_rev	3.206522241054249	5.180457812033809
