Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC217T_F8-9r_R2	PDAC217T_F8-9r_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	31180978.0	0.0	75.0	53.0	37.87630454499626	75.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
PDAC217T_F8-9rft_R1	PDAC217T_F8-9rft_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	31180978.0	0.0	51.0	53.0	32.74718695163562	51.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	pass
PDAC217T_F8-9rft_R2	PDAC217T_F8-9rft_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	31180978.0	0.0	51.0	53.0	35.192195592431055	51.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	pass
PDAC217T_F8-9rkf_R1	PDAC217T_F8-9rkf_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	28900858.0	0.0	75.0	54.0	41.02084914795942	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC217T_F8-9rkf_R2	PDAC217T_F8-9rkf_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	28900858.0	0.0	75.0	54.0	40.40625248496376	75.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
PDAC217T_R1	PDAC217T_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	91793911.0	0.0	75.0	55.0	28.219563574469543	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
PDAC217T_R2	PDAC217T_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	91793911.0	0.0	75.0	55.0	28.344667255645234	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC217Tr_R1	PDAC217Tr_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	68410888.0	0.0	75.0	51.0	36.644336424126955	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
PDAC217Tr_R2	PDAC217Tr_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	68410888.0	0.0	75.0	52.0	36.507238977259235	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC217Trft_R1	PDAC217Trft_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	68410888.0	0.0	51.0	51.0	31.269878738934402	51.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
PDAC217Trft_R2	PDAC217Trft_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	68410888.0	0.0	51.0	52.0	34.043515552590996	51.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	pass
PDAC217Trkf_R1	PDAC217Trkf_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	66290093.0	0.0	75.0	52.0	37.76489980698064	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
PDAC217Trkf_R2	PDAC217Trkf_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	66290093.0	0.0	75.0	52.0	37.52581166225136	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
