NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FLNB	20	0.03992365673184395	0.042863794	No	
row_1	VEGFA	171	0.036690402776002884	-0.05273835	No	
row_2	IL11RA	432	0.02652551978826523	-0.2772972	No	
row_3	TNFRSF11A	509	-0.017611997202038765	-0.32728782	No	
row_4	RPS6KA3	542	-0.0212703850120306	-0.32634276	No	
row_5	PSMB6	573	-0.02298470214009285	-0.32062504	No	
row_6	PIAS1	664	-0.026036465540528297	-0.37160128	No	
row_7	PSMD1	698	-0.0272202230989933	-0.36223683	No	
row_8	PSMA6	778	-0.029912307858467102	-0.3957783	Yes	
row_9	IL2RG	801	-0.030578745529055595	-0.36980033	Yes	
row_10	CAPZA1	836	-0.03182010352611542	-0.35415944	Yes	
row_11	RALA	865	-0.0329376719892025	-0.33059064	Yes	
row_12	IL32	907	-0.03410011902451515	-0.31850985	Yes	
row_13	PSMA5	926	-0.034808628261089325	-0.28171462	Yes	
row_14	PSMA3	939	-0.035417553037405014	-0.23779888	Yes	
row_15	ABCE1	948	-0.035557784140110016	-0.18955797	Yes	
row_16	IRAK2	950	-0.03567349910736084	-0.13395388	Yes	
row_17	NRAS	952	-0.03572602570056915	-0.07826642	Yes	
row_18	CHUK	958	-0.03610433638095856	-0.026080973	Yes	
row_19	IFNAR2	987	-0.03904284909367561	0.0071794605	Yes	
