NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOLR3	44	0.03903289511799812	0.0255298	No	
row_1	BPI	47	0.03890137001872063	0.093766764	No	
row_2	CD300A	102	0.0379243865609169	0.107068904	No	
row_3	CLEC5A	357	0.031579792499542236	-0.09559052	No	
row_4	PRDX6	511	-0.017847726121544838	-0.21978727	No	
row_5	CAND1	662	-0.025990230962634087	-0.32620573	Yes	
row_6	PSMD1	698	-0.0272202230989933	-0.31281507	Yes	
row_7	FRK	740	-0.028584841638803482	-0.30309397	Yes	
row_8	ATP6AP2	786	-0.030088337138295174	-0.29474655	Yes	
row_9	DYNC1LI1	787	-0.030105656012892723	-0.24035554	Yes	
row_10	ACTR10	798	-0.03047449141740799	-0.19552313	Yes	
row_11	SNAP23	919	-0.03459591418504715	-0.2557191	Yes	
row_12	PSMA5	926	-0.034808628261089325	-0.19896635	Yes	
row_13	AGL	949	-0.035593483597040176	-0.15715554	Yes	
row_14	NRAS	952	-0.03572602570056915	-0.09465538	Yes	
row_15	RAP1A	962	-0.03665333613753319	-0.037637345	Yes	
row_16	CMTM6	979	-0.03837710618972778	0.015337521	Yes	
