NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTK	12	0.04025448113679886	0.05937442	Yes	
row_1	APLNR	73	0.03847012668848038	0.06639164	Yes	
row_2	CAMKK1	83	0.038301561027765274	0.12536283	Yes	
row_3	XCR1	142	0.037223685532808304	0.13221005	Yes	
row_4	KEL	285	0.034165266901254654	0.047546454	No	
row_5	VIPR2	337	0.03246614709496498	0.053095426	No	
row_6	FZD2	424	0.02760857716202736	0.014135281	No	
row_7	ARHGEF18	472	0.021022595465183258	0.0034083936	No	
row_8	CCR7	486	0.014156094752252102	0.015292382	No	
row_9	TACR2	512	-0.01791416108608246	0.021572191	No	
row_10	GPR17	528	-0.02033878117799759	0.042414717	No	
row_11	RPS6KA3	542	-0.0212703850120306	0.066965066	No	
row_12	NPY1R	659	-0.025933464989066124	-0.0057151774	No	
row_13	GNG12	730	-0.028183018788695335	-0.027259141	No	
row_14	DRD1	759	-0.029213078320026398	-0.003936394	No	
row_15	GPSM2	829	-0.03163786605000496	-0.018304722	No	
row_16	OPN3	841	-0.032069072127342224	0.027520899	No	
row_17	GNG5	951	-0.03571384400129318	-0.020574119	No	
row_18	NRAS	952	-0.03572602570056915	0.043032873	No	
