NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBXW9	364	0.03123234212398529	-0.29212964	Yes	
row_1	FBXO27	383	0.03065497986972332	-0.23266397	Yes	
row_2	KLHL41	422	0.027849188074469566	-0.20073038	Yes	
row_3	ASB2	489	0.012864978983998299	-0.23541315	Yes	
row_4	RBBP7	507	-0.01750260964035988	-0.20832095	Yes	
row_5	ASB8	532	-0.020614854991436005	-0.18046962	Yes	
row_6	DTL	555	-0.021949337795376778	-0.14718923	Yes	
row_7	PSMB6	573	-0.02298470214009285	-0.106178	Yes	
row_8	WSB2	577	-0.02318407967686653	-0.050374843	Yes	
row_9	CAND1	662	-0.025990230962634087	-0.07009992	Yes	
row_10	PSMD1	698	-0.0272202230989933	-0.03670205	Yes	
row_11	PSMA6	778	-0.029912307858467102	-0.041366935	Yes	
row_12	EPAS1	830	-0.03166976943612099	-0.012998201	Yes	
row_13	PSMA5	926	-0.034808628261089325	-0.021557856	Yes	
row_14	PSMA3	939	-0.035417553037405014	0.056122422	Yes	
