Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC203T_F8-9kf1_rev	PDAC203T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43765110.0	0.0	40-75	56.0	33.01478723969022	74.97925685551802	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC203Tkf1_fwd	PDAC203Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78662150.0	0.0	40-75	47.0	51.68711695143548	74.98062336206168	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
PDAC203Tkf1_rev	PDAC203Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78662150.0	0.0	40-75	47.0	51.68313078796597	74.98062336206168	pass	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
PDAC204T_F8-9kf1_fwd	PDAC204T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27716591.0	0.0	40-75	53.0	43.67681941581231	74.9810518183856	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204T_F8-9kf1_rev	PDAC204T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27716591.0	0.0	40-75	53.0	43.43266180971195	74.9810518183856	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204Tkf1_fwd	PDAC204Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89037693.0	0.0	40-75	48.0	45.29117946652676	74.989899895542	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204Tkf1_rev	PDAC204Tkf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	89037693.0	0.0	40-75	48.0	44.34518381438854	74.989899895542	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PDAC205T_F8-9kf1_fwd	PDAC205T_F8-9kf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54275748.0	0.0	40-75	52.0	41.73036832405372	74.98129925358191	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC205T_F8-9kf1_rev	PDAC205T_F8-9kf1_rev.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54275748.0	0.0	40-75	52.0	39.565587176559745	74.98129925358191	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC205Tkf1_fwd	PDAC205Tkf1_fwd.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74379659.0	0.0	40-75	49.0	40.3787902682556	74.98494319528946	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
