Sample	Unique Reads	Duplicate Reads
PDAC200T_F8-9kf1_R1	11504109.0	50165856.0
PDAC200T_F8-9kf1_R2	11831076.0	49838889.0
PDAC200Tkf1_R1	45713492.0	36812093.0
PDAC200Tkf1_R2	45288510.0	37237075.0
PDAC201T_F8-9kf1_R1	19152530.0	51945328.0
PDAC201T_F8-9kf1_R2	18522105.0	52575753.0
PDAC201Tkf1_R1	47305861.0	95836463.0
PDAC201Tkf1_R2	48128729.0	95013595.0
PDAC202T_F8-9kf1_R1	24466613.0	22932002.0
PDAC202T_F8-9kf1_R2	23349688.0	24048927.0
PDAC202Tkf1_R1	44589753.0	65623483.0
PDAC202Tkf1_R2	44460790.0	65752446.0
PDAC203T_F8-9kf1_R1	15781219.0	76976565.0
PDAC203T_F8-9kf1_R2	16309502.0	76448282.0
PDAC203Tkf1_R1	41170998.0	42289143.0
PDAC203Tkf1_R2	41229597.0	42230544.0
PDAC204T_F8-9kf1_R1	13103443.0	38037454.0
PDAC204T_F8-9kf1_R2	13149925.0	37990972.0
PDAC204Tkf1_R1	40829005.0	56208350.0
PDAC204Tkf1_R2	39978221.0	57059134.0
PDAC205T_F8-9kf1_R1	23139162.0	40956341.0
PDAC205T_F8-9kf1_R2	22036461.0	42059042.0
PDAC205Tkf1_R1	30692617.0	56008873.0
PDAC205Tkf1_R2	33571470.0	53130020.0
PDAC206T_F8-9kf1_R1	15923735.0	26045529.0
PDAC206T_F8-9kf1_R2	16099003.0	25870261.0
PDAC206Tkf1_R1	47039926.0	125777740.0
PDAC206Tkf1_R2	46452567.0	126365099.0
PDAC207T_F8-9kf1_R1	32061339.0	56081257.0
PDAC207T_F8-9kf1_R2	33000855.0	55141741.0
PDAC207Tkf1_R1	36491945.0	48493947.0
PDAC207Tkf1_R2	36688339.0	48297553.0
PDAC208T_F8-9kf1_R1	13366531.0	45338056.0
PDAC208T_F8-9kf1_R2	14477817.0	44226770.0
PDAC208Tkf1_R1	38151466.0	63568916.0
PDAC208Tkf1_R2	42150336.0	59570046.0
PDAC209T_F8-9kf1_R1	17595777.0	21209909.0
PDAC209T_F8-9kf1_R2	16666463.0	22139223.0
PDAC209Tkf1_R1	32711616.0	55583275.0
PDAC209Tkf1_R2	32703193.0	55591698.0
PDAC210T_F8-9kf1_R1	13437874.0	36278538.0
PDAC210T_F8-9kf1_R2	14548133.0	35168279.0
PDAC210Tkf1_R1	28817757.0	45504080.0
PDAC210Tkf1_R2	31586624.0	42735213.0
PDAC211T_F8-9kf1_R1	21052544.0	31179157.0
PDAC211T_F8-9kf1_R2	20501911.0	31729790.0
PDAC211Tkf1_R1	44354730.0	68322601.0
PDAC211Tkf1_R2	44254000.0	68423331.0
PDAC212T_F8-9kf1_R1	21277400.0	40708092.0
PDAC212T_F8-9kf1_R2	20500398.0	41485094.0
PDAC213T_F8-9kf1_R1	12953284.0	59900520.0
PDAC213T_F8-9kf1_R2	13478334.0	59375470.0
PDAC213Tkf1_R1	38493218.0	94392131.0
PDAC213Tkf1_R2	38226495.0	94658854.0
PDAC214T_F8-9kf1_R1	14393000.0	61040859.0
PDAC214T_F8-9kf1_R2	14741343.0	60692516.0
PDAC214Tkf1_R1	25660798.0	63682686.0
PDAC214Tkf1_R2	26058213.0	63285271.0
PDAC215T_F8-9kf1_R1	5916965.0	66495685.0
PDAC215T_F8-9kf1_R2	6564561.0	65848089.0
PDAC215Tkf1_R1	42505785.0	90033900.0
PDAC215Tkf1_R2	43166006.0	89373679.0
