Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC200T_F8-9kf1_R1	PDAC200T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61669965.0	0.0	40-75	62.0	18.65431292928802	74.97670082997453	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
PDAC200T_F8-9kf1_R2	PDAC200T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61669965.0	0.0	40-75	62.0	19.184502331698052	74.97670082997453	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
PDAC200Tkf1_R1	PDAC200Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82525585.0	0.0	40-75	47.0	55.39311383756911	74.98933561028377	pass	pass	warn	pass	warn	warn	pass	warn	warn	warn	pass
PDAC200Tkf1_R2	PDAC200Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82525585.0	0.0	40-75	47.0	54.87814394812035	74.98933561028377	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
PDAC201T_F8-9kf1_R1	PDAC201T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71097858.0	0.0	40-75	58.0	26.938265326423945	74.98013094853012	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
PDAC201T_F8-9kf1_R2	PDAC201T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71097858.0	0.0	40-75	59.0	26.051565080790823	74.98013094853012	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
PDAC201Tkf1_R1	PDAC201Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143142324.0	0.0	40-75	51.0	33.04812971046041	74.98777902334463	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC201Tkf1_R2	PDAC201Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143142324.0	0.0	40-75	52.0	33.62298940699983	74.98777902334463	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC202T_F8-9kf1_R1	PDAC202T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47398615.0	0.0	40-75	49.0	51.618834326914495	74.98905453250057	pass	pass	warn	pass	warn	pass	pass	warn	warn	pass	pass
PDAC202T_F8-9kf1_R2	PDAC202T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47398615.0	0.0	40-75	49.0	49.26238288857638	74.98905453250057	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
PDAC202Tkf1_R1	PDAC202Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110213236.0	0.0	40-75	48.0	40.457710782364586	74.99139305736382	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
PDAC202Tkf1_R2	PDAC202Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110213236.0	0.0	40-75	48.0	40.34069886970958	74.99139305736382	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
PDAC203T_F8-9kf1_R1	PDAC203T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92757784.0	0.0	40-75	60.0	17.013363065976588	74.98053991889242	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC203T_F8-9kf1_R2	PDAC203T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92757784.0	0.0	40-75	61.0	17.582893081384352	74.98053991889242	pass	pass	pass	pass	warn	fail	warn	warn	fail	fail	pass
PDAC203Tkf1_R1	PDAC203Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83460141.0	0.0	40-75	48.0	49.33013176478376	74.98044297576732	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
PDAC203Tkf1_R2	PDAC203Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83460141.0	0.0	40-75	48.0	49.40034330689614	74.98044297576732	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204T_F8-9kf1_R1	PDAC204T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51140897.0	0.0	40-75	59.0	25.622237720971437	74.97483902169334	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
PDAC204T_F8-9kf1_R2	PDAC204T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51140897.0	0.0	40-75	60.0	25.71312844609045	74.97483902169334	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
PDAC204Tkf1_R1	PDAC204Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97037355.0	0.0	40-75	49.0	42.07555359793914	74.98966394951718	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC204Tkf1_R2	PDAC204Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97037355.0	0.0	40-75	49.0	41.19879431945104	74.98966394951718	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
PDAC205T_F8-9kf1_R1	PDAC205T_F8-9kf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64095503.0	0.0	40-75	54.0	36.101068152793786	74.9809665430038	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC205T_F8-9kf1_R2	PDAC205T_F8-9kf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64095503.0	0.0	40-75	54.0	34.38066586703844	74.9809665430038	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
PDAC205Tkf1_R1	PDAC205Tkf1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86701490.0	0.0	40-75	50.0	35.40033394081703	74.98489218582057	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
PDAC205Tkf1_R2	PDAC205Tkf1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86701490.0	0.0	40-75	51.0	38.7207532401934	74.98489218582057	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
