NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	U2AF1	8	0.04159516841173172	0.03637128	Yes	
row_1	AKT1	92	0.0401955246925354	-0.0063997265	Yes	
row_2	HDAC5	210	0.039207037538290024	-0.08542857	Yes	
row_3	CITED4	211	0.0391998291015625	-0.043347143	Yes	
row_4	MBD3	279	0.03827729821205139	-0.071614236	Yes	
row_5	FOXO6	315	0.03770631551742554	-0.06736799	Yes	
row_6	SNAPC2	317	0.037624675780534744	-0.028012702	Yes	
row_7	FZR1	323	0.037575863301754	0.007149402	Yes	
row_8	PPP1R13B	345	0.03718114644289017	0.025324626	Yes	
row_9	RARA	364	0.03678666800260544	0.046181962	Yes	
row_10	VEGFA	391	0.03580585494637489	0.057704806	Yes	
row_11	SFN	428	0.03469806909561157	0.05768647	Yes	
row_12	SNAPC1	431	0.0345984622836113	0.092757896	Yes	
row_13	ANAPC2	476	0.033452488481998444	0.08312084	Yes	
row_14	SMARCD3	528	0.03167534992098808	0.06432963	Yes	
row_15	TEAD3	541	0.03128329664468765	0.08549022	Yes	
row_16	ZNF425	565	0.02997547946870327	0.09385969	Yes	
row_17	CBX6	572	0.029766077175736427	0.11960271	Yes	
row_18	TP73	615	0.027359584346413612	0.10549525	Yes	
row_19	DDIT4	627	0.026363922283053398	0.12241004	Yes	
row_20	RXRA	640	0.025601081550121307	0.1374707	Yes	
row_21	STEAP3	672	0.022941306233406067	0.13000734	No	
row_22	MT-CO1	837	-0.013460800983011723	-0.025314607	No	
row_23	GTF2A2	861	-0.017091894522309303	-0.030775802	No	
row_24	ZNF470	892	-0.020213095471262932	-0.04013273	No	
row_25	TBL1XR1	901	-0.020881734788417816	-0.025997542	No	
row_26	PF4	921	-0.022708529606461525	-0.021288432	No	
row_27	TAF13	958	-0.02686893753707409	-0.029711425	No	
row_28	BMP2	981	-0.03030996583402157	-0.019947685	No	
row_29	NR3C2	987	-0.031117776408791542	0.008281594	No	
