NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT1	92	0.0401955246925354	-0.018268216	Yes	
row_1	DLG4	126	0.03983480855822563	0.023232412	Yes	
row_2	COL6A3	136	0.03977087885141373	0.08920234	Yes	
row_3	PRKCD	256	0.03871145844459534	0.040464398	Yes	
row_4	MAP2K2	269	0.038438279181718826	0.10084113	Yes	
row_5	COL24A1	319	0.03759980946779251	0.1217228	Yes	
row_6	SH3GL1	382	0.036214277148246765	0.12666531	Yes	
row_7	VEGFA	391	0.03580585494637489	0.1861635	Yes	
row_8	NTRK1	407	0.035425085574388504	0.23776968	Yes	
row_9	FRS3	638	0.02566566877067089	0.050637737	No	
row_10	TLR9	683	0.021930497139692307	0.0470178	No	
row_11	COL6A6	713	0.018976686522364616	0.05318221	No	
row_12	HSPB1	726	0.0178793054074049	0.074689925	No	
row_13	NAB2	727	0.01770482212305069	0.10816285	No	
row_14	GABRB2	730	0.017454130575060844	0.13911264	No	
row_15	IRS4	792	0.005591263063251972	0.087183535	No	
row_16	ATP6V0D2	810	-0.0019325402099639177	0.07341918	No	
row_17	CXCL12	842	-0.014241804368793964	0.068582594	No	
row_18	PRKACB	903	-0.021266216412186623	0.047313318	No	
row_19	GALNT3	936	-0.02429082617163658	0.060450923	No	
