NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NME9	32	0.04093604162335396	0.038984064	Yes	
row_1	IFT140	33	0.04092007130384445	0.11059323	Yes	
row_2	DRC1	70	0.04043592885136604	0.14462048	Yes	
row_3	DNAI1	94	0.040178388357162476	0.19146234	Yes	
row_4	TCTN1	130	0.0398043729364872	0.22540478	Yes	
row_5	DNAAF1	198	0.039279110729694366	0.22577497	Yes	
row_6	CCDC114	199	0.03927629813551903	0.2945076	Yes	
row_7	CCDC40	228	0.039046574383974075	0.33426675	Yes	
row_8	NEK1	343	0.037216588854789734	0.2830684	Yes	
row_9	NEK8	371	0.036545682698488235	0.31947145	Yes	
row_10	ZMYND10	397	0.03568282350897789	0.35640535	Yes	
row_11	TULP1	472	0.0335783027112484	0.3396564	Yes	
row_12	CCDC103	529	0.03162984922528267	0.33786505	Yes	
row_13	BBS1	530	0.03162020444869995	0.39319968	Yes	
row_14	SUFU	538	0.03130927309393883	0.44084734	Yes	
row_15	PKHD1	841	-0.01397664938122034	0.15714288	No	
