NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTK	22	0.04119820147752762	0.06803647	Yes	
row_1	CD207	280	0.038275934755802155	-0.10989521	Yes	
row_2	FBXW9	284	0.038250744342803955	-0.028962735	Yes	
row_3	FZR1	323	0.037575863301754	0.014809959	Yes	
row_4	THOP1	370	0.03654735907912254	0.048169326	Yes	
row_5	ANAPC2	476	0.033452488481998444	0.0145903025	Yes	
row_6	MIB2	479	0.03343605250120163	0.08597009	Yes	
row_7	FBXL15	507	0.03242156282067299	0.12963808	Yes	
row_8	ASB16	549	0.03090732917189598	0.15570997	Yes	
row_9	FBXO17	567	0.029962945729494095	0.20417303	Yes	
row_10	ASB14	573	0.029726870357990265	0.26435012	Yes	
row_11	KLHL41	590	0.028403647243976593	0.31040865	Yes	
row_12	ASB5	707	0.019984649494290352	0.23604405	No	
row_13	ASB2	786	0.006840291433036327	0.1715532	No	
row_14	RNF7	870	-0.018433179706335068	0.12742102	No	
