NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XCR1	43	0.040782347321510315	0.045344535	No	
row_1	PTGIR	80	0.04026409611105919	0.09671159	No	
row_2	APLNR	183	0.03939066454768181	0.07868119	No	
row_3	C5AR1	252	0.03876546025276184	0.09404646	No	
row_4	ADORA3	449	0.034107908606529236	-0.031667493	No	
row_5	FZD2	524	0.031799476593732834	-0.037692446	No	
row_6	VIPR2	552	0.030784597620368004	0.002117307	No	
row_7	UCN	619	0.02719571813941002	-0.0058097485	No	
row_8	GPR55	702	0.020598072558641434	-0.04454532	No	
row_9	ADM	756	0.01440347172319889	-0.067194484	No	
row_10	CCR7	781	0.00890378002077341	-0.07223541	No	
row_11	WNT10B	805	-1.704692476778291E-5	-0.09571546	No	
row_12	CXCL12	842	-0.014241804368793964	-0.101336256	Yes	
row_13	NPY1R	863	-0.01725044846534729	-0.08400832	Yes	
row_14	PF4	921	-0.022708529606461525	-0.092559695	Yes	
row_15	GNG12	932	-0.024046262726187706	-0.050124228	Yes	
row_16	SSTR1	938	-0.02442147023975849	-0.0017545949	Yes	
row_17	OPN3	959	-0.026947632431983948	0.036809817	Yes	
