NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APLNR	183	0.03939066454768181	-0.092555135	No	
row_1	CAMKK1	238	0.03888808935880661	-0.05467924	No	
row_2	C5AR1	252	0.03876546025276184	0.024740191	No	
row_3	PRKCD	256	0.03871145844459534	0.1142346	No	
row_4	ADORA3	449	0.034107908606529236	-1.3481395E-4	No	
row_5	RGS11	569	0.02984602190554142	-0.05020422	No	
row_6	GPR55	702	0.020598072558641434	-0.13564995	No	
row_7	RGS13	720	0.018156925216317177	-0.10958531	No	
row_8	CCR7	781	0.00890378002077341	-0.14952166	No	
row_9	CXCL12	842	-0.014241804368793964	-0.17669527	Yes	
row_10	NPY1R	863	-0.01725044846534729	-0.15585916	Yes	
row_11	PRKACB	903	-0.021266216412186623	-0.14480945	Yes	
row_12	PF4	921	-0.022708529606461525	-0.10786233	Yes	
row_13	GNG12	932	-0.024046262726187706	-0.060573958	Yes	
row_14	SSTR1	938	-0.02442147023975849	-0.007286454	Yes	
row_15	OPN3	959	-0.026947632431983948	0.036734756	Yes	
