sample	origin	fraction	IG_RIN	Yield
s17AAO2007-Pol	s17AAO2007	Polysome	10	4830
s17AAO2007-tot	s17AAO2007	Total	9.8	5001
s17T-Pol	s17T	Polysome	10	4322
s17T-tot	s17T	Total	8.8	3407
sDALJO-Pol	sDALJO	Polysome	10	3771
sDALJO-tot	sDALJO	Total	9.7	4237
sMAYCL-Pol	sMAYCL	Polysome	10	5538
sMAYCL-tot	sMAYCL	Total	8.3	4106
