Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC200T_F8-9kf_R1	81.35830723031899	62.0	75.0	27.27272727272727	61595775.0
PDAC200T_F8-9kf_R2	80.83154034181199	62.0	75.0	36.36363636363637	61595775.0
PDAC201T_F8-9kf_R1	72.33104199227895	58.0	75.0	9.090909090909092	69079833.0
PDAC201T_F8-9kf_R2	73.32096030439638	59.0	75.0	9.090909090909092	69079833.0
PDAC202T_F8-9kf_R1	48.35544667921031	49.0	75.0	0.0	47358095.0
PDAC202T_F8-9kf_R2	50.726301863259174	49.0	75.0	9.090909090909092	47358095.0
PDAC203T_F8-9kf_R1	82.31234089407496	61.0	75.0	9.090909090909092	88895298.0
PDAC203T_F8-9kf_R2	81.79813069943646	61.0	75.0	9.090909090909092	88895298.0
PDAC204T_F8-9kf_R1	74.3593648446199	59.0	75.0	36.36363636363637	51022541.0
PDAC204T_F8-9kf_R2	74.27464454189848	60.0	75.0	36.36363636363637	51022541.0
PDAC205T_F8-9kf_R1	63.19936508049389	54.0	75.0	9.090909090909092	62790270.0
PDAC205T_F8-9kf_R2	65.035764118998	54.0	75.0	9.090909090909092	62790270.0
PDAC206T_F8-9kf_R1	61.228080467568475	53.0	75.0	9.090909090909092	41026293.0
PDAC206T_F8-9kf_R2	60.9073513846351	53.0	75.0	9.090909090909092	41026293.0
PDAC207T_F8-9kf_R1	63.38977010748813	54.0	75.0	9.090909090909092	87346834.0
PDAC207T_F8-9kf_R2	62.34022589534394	55.0	75.0	27.27272727272727	87346834.0
PDAC208T_F8-9kf_R1	75.47282883228641	59.0	75.0	9.090909090909092	54323237.0
PDAC208T_F8-9kf_R2	73.68105975195714	60.0	75.0	9.090909090909092	54323237.0
PDAC209T_F8-9kf_R1	54.605943832441476	52.0	75.0	18.181818181818183	38738492.0
PDAC209T_F8-9kf_R2	57.04358302492896	52.0	75.0	9.090909090909092	38738492.0
PDAC210T_F8-9kf_R1	71.45878006548679	58.0	75.0	9.090909090909092	46971017.0
PDAC210T_F8-9kf_R2	69.27316086108976	59.0	75.0	9.090909090909092	46971017.0
PDAC211T_F8-9kf_R1	59.71371850023133	54.0	75.0	27.27272727272727	52168099.0
PDAC211T_F8-9kf_R2	60.75836326148259	55.0	75.0	18.181818181818183	52168099.0
PDAC212T_F8-9kf_R1	64.39158943542212	54.0	75.0	9.090909090909092	59727003.0
PDAC212T_F8-9kf_R2	65.86181670633405	54.0	75.0	9.090909090909092	59727003.0
PDAC213T_F8-9kf_R1	81.65855521735358	58.0	75.0	9.090909090909092	70423752.0
PDAC213T_F8-9kf_R2	81.00189337798271	58.0	75.0	18.181818181818183	70423752.0
PDAC214T_F8-9kf_R1	79.60496141284288	59.0	75.0	9.090909090909092	70375106.0
PDAC214T_F8-9kf_R2	79.2821908609817	59.0	75.0	18.181818181818183	70375106.0
PDAC215T_F8-9kf_R1	91.27205924869641	61.0	75.0	27.27272727272727	67166469.0
PDAC215T_F8-9kf_R2	90.46526222385039	63.0	75.0	36.36363636363637	67166469.0
PDAC216T_F8-9kf_R1	70.28849077463394	56.0	75.0	9.090909090909092	55306239.0
PDAC216T_F8-9kf_R2	72.56447973375832	56.0	75.0	9.090909090909092	55306239.0
PDAC217T_F8-9kf_R1	77.23805305959709	60.0	75.0	27.27272727272727	56001519.0
PDAC217T_F8-9kf_R2	77.12655850753364	60.0	75.0	27.27272727272727	56001519.0
PDAC218T_F8-9kf_R1	65.70518159756185	53.0	75.0	18.181818181818183	55098415.0
PDAC218T_F8-9kf_R2	66.92810088541293	53.0	75.0	9.090909090909092	55098415.0
PDAC219T_F8-9kf_R1	66.07652616028942	56.0	75.0	9.090909090909092	40071065.0
PDAC219T_F8-9kf_R2	65.25715457429416	57.0	75.0	9.090909090909092	40071065.0
PDAC220T_F8-9kf_R1	86.72281621630252	61.0	75.0	27.27272727272727	58276348.0
PDAC220T_F8-9kf_R2	85.63281409742825	62.0	75.0	27.27272727272727	58276348.0
PDAC221T_F8-9kf_R1	73.91618701888896	57.0	75.0	9.090909090909092	40149883.0
PDAC221T_F8-9kf_R2	73.44575297590583	57.0	75.0	9.090909090909092	40149883.0
PDAC222T_F8-9kf_R1	73.46367724147393	56.0	75.0	27.27272727272727	47144540.0
PDAC222T_F8-9kf_R2	73.66229945314775	57.0	75.0	9.090909090909092	47144540.0
PDAC223T_F8-9kf_R1	75.51344482449716	57.0	75.0	9.090909090909092	52967955.0
PDAC223T_F8-9kf_R2	75.25562725598397	56.0	75.0	18.181818181818183	52967955.0
PDAC224T_F8-9kf_R1	58.59615540348969	51.0	75.0	9.090909090909092	56408536.0
PDAC224T_F8-9kf_R2	60.7997954068735	52.0	75.0	18.181818181818183	56408536.0
PDAC225T_F8-9kf_R1	56.856171291269234	54.0	75.0	9.090909090909092	49306954.0
PDAC225T_F8-9kf_R2	58.890996690177786	54.0	75.0	18.181818181818183	49306954.0
PDAC226T_F8-9kf_R1	87.58663502178939	61.0	75.0	27.27272727272727	81352836.0
PDAC226T_F8-9kf_R2	85.85192248784581	63.0	75.0	45.45454545454545	81352836.0
PDAC227T_F8-9kf_R1	61.58801964471501	54.0	75.0	9.090909090909092	48484530.0
PDAC227T_F8-9kf_R2	64.83482462207931	55.0	75.0	9.090909090909092	48484530.0
