Sample	Unique Reads	Duplicate Reads
PDAC200T_F8_9_R1	11499872.0	50170093.0
PDAC200T_F8_9_R2	11833402.0	49836563.0
PDAC200T_R1	45694622.0	36830963.0
PDAC200T_R2	45291242.0	37234343.0
PDAC201T_F8-9_R1	19168221.0	51929637.0
PDAC201T_F8-9_R2	18533712.0	52564146.0
PDAC201T_R1	47289856.0	95852468.0
PDAC201T_R2	48143754.0	94998570.0
PDAC202T_F8_9_R1	24462695.0	22935920.0
PDAC202T_F8_9_R2	23344331.0	24054284.0
PDAC202T_R1	44588568.0	65624668.0
PDAC202T_R2	44459596.0	65753640.0
PDAC203T_F8-9_R1	15783640.0	76974144.0
PDAC203T_F8-9_R2	16344050.0	76413734.0
PDAC203T_R1	41161701.0	42298440.0
PDAC203T_R2	41238336.0	42221805.0
PDAC204T_F8_9_R1	13106154.0	38034743.0
PDAC204T_F8_9_R2	13155044.0	37985853.0
PDAC204T_R1	40822861.0	56214494.0
PDAC204T_R2	39980794.0	57056561.0
PDAC205T_F8-9_R1_fastq	23134283.0	40961220.0
PDAC205T_F8-9_R2_fastq	22049837.0	42045666.0
PDAC205T_R1_fastq	30690615.0	56010875.0
PDAC205T_R2_fastq	33597421.0	53104069.0
PDAC206T_F8-9_R1_fastq	15923021.0	26046243.0
PDAC206T_F8-9_R2_fastq	16118536.0	25850728.0
PDAC206T_R1_fastq	47009617.0	125808049.0
PDAC206T_R2_fastq	46448617.0	126369049.0
PDAC207T_F8-9_R1_fastq	32061541.0	56081055.0
PDAC207T_F8-9_R2_fastq	33021941.0	55120655.0
PDAC207T_R1_fastq	36485672.0	48500220.0
PDAC207T_R2_fastq	36699979.0	48285913.0
PDAC208T_F8-9_R1_fastq	13374545.0	45330042.0
PDAC208T_F8-9_R2_fastq	14558408.0	44146179.0
PDAC208T_R1_fastq	38155025.0	63565357.0
PDAC208T_R2_fastq	42196646.0	59523736.0
PDAC209T_F8_9_R1	17596424.0	21209262.0
PDAC209T_F8_9_R2	16663406.0	22142280.0
PDAC209T_R1	32692953.0	55601938.0
PDAC209T_R2	32709277.0	55585614.0
PDAC210T_F8-9_R1_fastq	13438672.0	36277740.0
PDAC210T_F8-9_R2_fastq	14614457.0	35101955.0
PDAC210T_R1_fastq	28816577.0	45505260.0
PDAC210T_R2_fastq	31605495.0	42716342.0
PDAC211T_F8_9_R1	21044283.0	31187418.0
PDAC211T_F8_9_R2	20500364.0	31731337.0
PDAC211T_R1	44346729.0	68330602.0
PDAC211T_R2	44260743.0	68416588.0
PDAC212T_F8-9_R1_fastq	21296131.0	40689361.0
PDAC212T_F8-9_R2_fastq	20515731.0	41469761.0
PDAC212T_R1_fastq	1547173.0	800123.0
PDAC212T_R2_fastq	33325335.0	48406027.0
PDAC213T_F8-9_R1_fastq	12959774.0	59894030.0
PDAC213T_F8-9_R2_fastq	13506974.0	59346830.0
PDAC213T_R1_fastq	38467300.0	94418049.0
PDAC213T_R2_fastq	38312329.0	94573020.0
PDAC214T_F8-9_R1_fastq	14415023.0	61018836.0
PDAC214T_F8-9_R2_fastq	14796687.0	60637172.0
PDAC214T_R1_fastq	25675682.0	63667802.0
PDAC214T_R2_fastq	26088342.0	63255142.0
PDAC215T_F8-9_R1_fastq	5928297.0	66484353.0
PDAC215T_F8-9_R2_fastq	6598414.0	65814236.0
PDAC215T_R1_fastq	42503476.0	90036209.0
PDAC215T_R2_fastq	43216625.0	89323060.0
PDAC216T_F8-9_R1_fastq	16455740.0	39877876.0
PDAC216T_F8-9_R2_fastq	15240325.0	41093291.0
PDAC216T_R1_fastq	37648002.0	58331594.0
PDAC216T_R2_fastq	37519200.0	58460396.0
PDAC217T_F8-9_R1_fastq	12798302.0	45492353.0
PDAC217T_F8-9_R2_fastq	12959659.0	45330996.0
PDAC217T_R1_fastq	25903842.0	65890069.0
PDAC217T_R2_fastq	26018679.0	65775232.0
PDAC218T_F8-9_R1_fastq	18913735.0	36976767.0
PDAC218T_F8-9_R2_fastq	18283505.0	37606997.0
PDAC218T_R1_fastq	23648517.0	84919872.0
PDAC218T_R2_fastq	24881734.0	83686655.0
PDAC219T_F8-9_R1_fastq	13623778.0	27933581.0
PDAC219T_F8-9_R2_fastq	14010239.0	27547120.0
PDAC219T_R1_fastq	42430062.0	64380578.0
PDAC219T_R2_fastq	41631975.0	65178665.0
PDAC220T_F8-9_R1_fastq	7800935.0	55532028.0
PDAC220T_F8-9_R2_fastq	8583501.0	54749462.0
PDAC220T_R1_fastq	34552488.0	65425571.0
PDAC220T_R2_fastq	34579384.0	65398675.0
PDAC221T_F8-9_R1_fastq	10497583.0	33208037.0
PDAC221T_F8-9_R2_fastq	10811227.0	32894393.0
PDAC221T_R1_fastq	27939608.0	62925929.0
PDAC221T_R2_fastq	30405477.0	60460060.0
PDAC222T_F8_9_R1	12525057.0	34687969.0
PDAC222T_F8_9_R2	12438704.0	34774322.0
PDAC222T_R1	30187219.0	67523147.0
PDAC222T_R2	27980231.0	69730135.0
PDAC223T_F8-9_R1_fastq	12998517.0	41549686.0
PDAC223T_F8-9_R2_fastq	13201627.0	41346576.0
PDAC223T_R1_fastq	35852238.0	68149849.0
PDAC223T_R2_fastq	35652063.0	68350024.0
PDAC224T_F8-9_R1_fastq	23369440.0	34123308.0
PDAC224T_F8-9_R2_fastq	22199147.0	35293601.0
PDAC224T_R1_fastq	27677761.0	66149348.0
PDAC224T_R2_fastq	28327138.0	65499971.0
PDAC225T_F8-9_R1_fastq	21289783.0	29169458.0
PDAC225T_F8-9_R2_fastq	20352294.0	30106947.0
PDAC225T_R1_fastq	37871551.0	56653601.0
PDAC225T_R2_fastq	37834655.0	56690497.0
PDAC226T_F8-9_R1_fastq	10161142.0	75606180.0
PDAC226T_F8-9_R2_fastq	11704227.0	74063095.0
PDAC226T_R1_fastq	41048289.0	71403308.0
PDAC226T_R2_fastq	41901534.0	70550063.0
PDAC227T_F8-9_R1_fastq	18638171.0	31254516.0
PDAC227T_F8-9_R2_fastq	17135932.0	32756755.0
PDAC227T_R1_fastq	22235782.0	60721766.0
PDAC227T_R2_fastq	22353720.0	60603828.0
