Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC200T_F8-9kf_R1	PDAC200T_F8-9kf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61595775.0	0.0	75.0	62.0	18.641692769681022	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	pass
PDAC200T_F8-9kf_R2	PDAC200T_F8-9kf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61595775.0	0.0	75.0	62.0	19.16845965818801	75.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
PDAC200Tkf_R1	PDAC200Tkf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82435967.0	0.0	75.0	47.0	55.43766167014049	75.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	warn	pass
PDAC200Tkf_R2	PDAC200Tkf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82435967.0	0.0	75.0	47.0	54.906671070515586	75.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
PDAC201T_F8-9kf_R1	PDAC201T_F8-9kf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69079833.0	0.0	75.0	58.0	27.668958007721038	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
PDAC201T_F8-9kf_R2	PDAC201T_F8-9kf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69079833.0	0.0	75.0	59.0	26.679039695603624	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
PDAC201Tkf_R1	PDAC201Tkf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141691555.0	0.0	75.0	51.0	33.3514856787952	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
PDAC201Tkf_R2	PDAC201Tkf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141691555.0	0.0	75.0	52.0	33.898215099102586	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC202T_F8-9kf_R1	PDAC202T_F8-9kf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47358095.0	0.0	75.0	49.0	51.64455332078969	75.0	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	pass
PDAC202T_F8-9kf_R2	PDAC202T_F8-9kf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47358095.0	0.0	75.0	49.0	49.273698136740826	75.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
PDAC202Tkf_R1	PDAC202Tkf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109628924.0	0.0	75.0	48.0	40.64923594655442	75.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
PDAC202Tkf_R2	PDAC202Tkf_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109628924.0	0.0	75.0	48.0	40.498560068089425	75.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
PDAC203T_F8-9kf_R1	PDAC203T_F8-9kf_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88895298.0	0.0	75.0	61.0	17.687659105925032	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
