Sample	Unique Reads	Duplicate Reads
PDAC200T_F8-9kf_R1	11482496.0	50113279.0
PDAC200T_F8-9kf_R2	11806962.0	49788813.0
PDAC200Tkf_R1	45700573.0	36735394.0
PDAC200Tkf_R2	45262846.0	37173121.0
PDAC201T_F8-9kf_R1	19113670.0	49966163.0
PDAC201T_F8-9kf_R2	18429837.0	50649996.0
PDAC201Tkf_R1	47256239.0	94435316.0
PDAC201Tkf_R2	48030909.0	93660646.0
PDAC202T_F8-9kf_R1	24457877.0	22900218.0
PDAC202T_F8-9kf_R2	23335085.0	24023010.0
PDAC202Tkf_R1	44563320.0	65065604.0
PDAC202Tkf_R2	44398136.0	65230788.0
PDAC203T_F8-9kf_R1	15723498.0	73171800.0
PDAC203T_F8-9kf_R2	16180606.0	72714692.0
PDAC203Tkf_R1	41122492.0	41877886.0
PDAC203Tkf_R2	41161779.0	41838599.0
PDAC204T_F8-9kf_R1	13082504.0	37940037.0
PDAC204T_F8-9kf_R2	13125731.0	37896810.0
PDAC204Tkf_R1	40807200.0	56162240.0
PDAC204Tkf_R2	39954313.0	57015127.0
PDAC205T_F8-9kf_R1	23107219.0	39683051.0
PDAC205T_F8-9kf_R2	21954139.0	40836131.0
PDAC205Tkf_R1	30655487.0	54791522.0
PDAC205Tkf_R2	33482809.0	51964200.0
PDAC206T_F8-9kf_R1	15906682.0	25119611.0
PDAC206T_F8-9kf_R2	16038265.0	24988028.0
PDAC206Tkf_R1	46811703.0	124471062.0
PDAC206Tkf_R2	46163297.0	125119468.0
PDAC207T_F8-9kf_R1	31977877.0	55368957.0
PDAC207T_F8-9kf_R2	32894621.0	54452213.0
PDAC207Tkf_R1	36432736.0	48076296.0
PDAC207Tkf_R2	36613157.0	47895875.0
PDAC208T_F8-9kf_R1	13323954.0	40999283.0
PDAC208T_F8-9kf_R2	14297301.0	40025936.0
PDAC208Tkf_R1	38077641.0	62561558.0
PDAC208Tkf_R2	42044508.0	58594691.0
PDAC209T_F8-9kf_R1	17584973.0	21153519.0
PDAC209T_F8-9kf_R2	16640669.0	22097823.0
PDAC209Tkf_R1	32655698.0	55528535.0
