Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PDAC200T_F8-9kf_R1	2.3126699842643426	16.387002192926385
PDAC200T_F8-9kf_R2	1.9507133403224493	17.73877023221154
PDAC200Tkf_R1	0.29439091798365147	1.810822453262421
PDAC200Tkf_R2	0.22343038688440447	0.9175242646210482
PDAC201T_F8-9kf_R1	0.5239242544202445	4.640639475778697
PDAC201T_F8-9kf_R2	0.5007959414146238	5.443571353161782
PDAC201Tkf_R1	0.6150444181376935	5.886688871471556
PDAC201Tkf_R2	0.254020784795537	3.757838637595586
PDAC202T_F8-9kf_R1	0.0	0.0
PDAC202T_F8-9kf_R2	0.0	0.0
PDAC202Tkf_R1	0.2775024956005223	1.0837459282187243
PDAC202Tkf_R2	0.1263297996065345	0.0
PDAC203T_F8-9kf_R1	0.6432848675528372	9.841514902171767
PDAC203T_F8-9kf_R2	0.6026932943067472	12.685975809429202
PDAC203Tkf_R1	0.4874712739260055	2.811310088250441
PDAC203Tkf_R2	0.19862078218487147	1.3766214414107847
PDAC204T_F8-9kf_R1	1.8016174459049386	7.883268690988951
PDAC204T_F8-9kf_R2	1.290658965808857	10.683785819291124
PDAC204Tkf_R1	0.5564959434642502	2.5507500094875253
PDAC204Tkf_R2	0.21928351860132428	0.9037249261210543
PDAC205T_F8-9kf_R1	0.28276037035674473	1.2161024311569295
PDAC205T_F8-9kf_R2	0.16878411257030748	0.3128589827691456
PDAC205Tkf_R1	0.8080236020900392	6.244081638948881
PDAC205Tkf_R2	0.38061367367463966	4.059396625574102
PDAC206T_F8-9kf_R1	0.1429059164570389	0.4566413056134514
PDAC206T_F8-9kf_R2	0.14810258387224992	0.4003383878723822
PDAC206Tkf_R1	0.3598750872570279	2.0448233656200023
PDAC206Tkf_R2	0.35926615266865874	2.109263591114961
PDAC207T_F8-9kf_R1	0.8180445326730447	7.515757239695714
PDAC207T_F8-9kf_R2	0.7064823895048102	8.590034299354224
PDAC207Tkf_R1	0.7224150904958893	6.113858930486861
PDAC207Tkf_R2	0.3635907224685759	5.505706182979353
PDAC208T_F8-9kf_R1	0.5351006605147628	7.48957945933892
PDAC208T_F8-9kf_R2	0.5229345961103165	8.795381615421775
PDAC208Tkf_R1	0.5530449422595265	3.5049106461986055
PDAC208Tkf_R2	0.2564368581669653	1.2617598436966893
PDAC209T_F8-9kf_R1	0.304745987530955	1.088767213757314
PDAC209T_F8-9kf_R2	0.15101258975181586	0.10579141800357122
PDAC209Tkf_R1	0.44040979525217394	2.638949073810055
PDAC209Tkf_R2	0.246115425191712	1.1687486129181393
PDAC210T_F8-9kf_R1	0.5379998478636304	6.2677331427590754
PDAC210T_F8-9kf_R2	0.5167697348345682	6.445300087924432
