;PDAC018T;PDAC029T;PDAC013T;PDAC020T;PDAC021T;PDAC017T;PDAC031T;PDAC012T;PDAC032T;PDAC028T;PDAC030T;PDAC027T;PDAC025T;PDAC011T;PDAC024T;PDAC008T;PDAC026T;PDAC019T;PDAC015T;PDAC001T;PDAC022T
ENSMUSG00000006273;7.33285428632435;8.27317087493881;6.37592642681083;6.62061031270104;7.38738437648175;7.74072739472534;8.14802369081394;7.06743027025882;8.14939523202728;7.09757778330786;7.09149628935424;7.23351447214464;8.07836725187238;8.7318205169621;7.65328839345968;8.9456263580864;7.32477447416324;9.47918183084104;7.48381163829034;6.63649346049431;7.14733280599365
ENSMUSG00000020017;6.58796562050984;9.1040856561016;4.64606358704224;6.32983558239728;6.12844146385938;8.22463407787775;8.845317601133;7.73177423689872;8.89013657972047;6.80223857800723;8.79174010365297;7.37186303106802;9.74318250599425;9.51695366621323;6.6251154033682;8.93291541055606;8.07813975470982;10.017378127588;7.20051449624219;5.50431419584761;8.30315936890188
ENSMUSG00000020818;5.54605543915062;6.10851401644008;4.48465060236924;5.33824051330653;5.07585525379826;5.90747878396823;5.94204565937585;5.47789923075254;6.15070546895767;4.99966397714712;5.61597657192925;4.9615822271953;6.08759656514732;6.72685163148741;5.52569138760907;6.47742792579729;5.37042071592592;7.16584925964713;5.24421577951771;5.07312268724312;5.42062597898699
ENSMUSG00000035273;5.58811888878518;7.47890124260985;4.89481665825466;5.56618503151834;6.50230359103859;6.58477007504657;7.04915007652906;6.54035762059795;7.16917518855039;5.54733418924921;6.48984705826542;6.46933179822178;6.76265626527921;7.88760542605788;6.40115961683002;7.80076280942417;6.78965920733513;8.4207120414137;6.69903619458481;5.19112853149892;6.66861884984414
ENSMUSG00000032788;6.41098352769111;7.02219536482299;5.45242763420872;5.810596995845;5.96845365424976;7.21937030621345;6.9549003837334;6.58399342290902;7.03295326670795;6.25106809375413;7.07098689118851;6.26089901445732;7.4916476469307;7.23248789614626;6.4912936846834;7.67839585406225;6.70218505865032;8.01702220117936;6.68481877258064;6.02645213499255;6.75516057134445
ENSMUSG00000022295;5.44549064371281;7.0751496677937;5.21381397196092;5.45585456655847;5.88942062265238;6.02181354852633;6.75998003950202;5.69022223395722;6.83362519420884;5.54294566831818;5.71947252778779;5.56348860953978;6.64729591207302;7.25617818230121;5.41117735589432;6.86615590003737;5.57401777380886;7.28522048577536;5.51074640969828;5.23479901090032;6.05510190254039
ENSMUSG00000019302;6.79720505796648;7.72714009087938;5.79613433910579;6.19587856541292;5.73359498166864;7.25742608182509;7.69168664940406;6.60767712247191;7.78616897166421;5.8236405064098;7.10748445277986;5.60126628767338;7.63391519827456;7.89409143449924;6.61286123714399;8.16093109265591;6.5948731625972;8.89799832984678;6.53180194679407;6.2207599950301;7.1784881512062
ENSMUSG00000026317;5.95917299455699;6.66794360417374;5.33804836052595;5.82391803762549;6.15448719736521;6.77967394094127;7.12520839710023;6.21143789105474;7.03618178657931;6.12461806803031;6.34632004875438;6.36887629247377;7.02799130908724;7.25281757996125;6.34065243221549;7.83452314924585;6.17351419732311;7.74249370261699;6.2396978196855;6.00792655701413;6.46848288731302
ENSMUSG00000022186;6.96346941463601;7.58545268120718;6.11904315246692;6.56457710533725;6.67161256107026;7.24232401807153;7.45051492365458;7.39594825571493;7.48346035621719;6.37598383835539;6.55192228572058;6.646909067862;7.3042352975751;7.70045889418189;7.16475986255078;8.17143518650047;6.97432349641268;8.19641320233301;7.23428779888116;6.2837169117608;7.1675098789195
ENSMUSG00000019872;5.71659938272616;7.24290857609861;4.64039651383848;5.40002569829892;6.34747958660494;6.33922274827038;7.22420964352726;6.33859997619592;7.42209680828137;6.04461437714125;5.95683039632888;6.29505501548759;6.73927967676314;7.68183670436673;6.38152466700039;7.9645261766858;6.40461558060939;8.40948153481461;6.43318883548285;4.77529070002969;6.5352231636371
ENSMUSG00000027698;6.61698022390376;8.2044604596031;6.09438374366884;6.42556722337369;7.27145992968646;7.45750627523993;7.94881965290227;6.96296525572865;8.4052662434157;6.67766600688054;7.06226336052123;7.00849601787985;8.03072124787961;8.53974377143601;7.09181464365028;9.04591362413813;6.91202212010452;8.99469944781432;7.05406030359084;5.96343158500005;7.12995759101617
ENSMUSG00000024644;7.6522024630013;7.789983303967;6.703954507135;6.94100677641261;7.65878448147918;8.1465378710897;8.42301642495366;7.4701756478455;8.52454537740346;7.7105725991589;8.10427877399131;8.24839651548567;9.2196868096879;8.85218265269641;7.75832640938247;8.78403377045801;7.99852064519996;9.37582560728222;7.97575450433146;6.82924870918917;8.14984135289915
ENSMUSG00000011884;6.59367301496692;6.74301807899538;5.66830216838107;6.16898937485313;6.72307537864693;7.48296880700903;8.02241769218203;7.35315421162848;7.97632872527444;6.54899146037452;7.16769016541884;7.13392833811821;7.83682635212494;7.92292294170462;7.02231736259578;8.43788310224512;6.69638199792038;8.38569718197735;7.02158377352074;6.06370172937682;7.18444127445686
ENSMUSG00000024781;7.55608650395326;9.46800921225399;6.75990702148727;7.2452176127583;8.24233970695097;8.59699855997931;9.57223810683663;8.5483381318568;9.70619781391235;7.72274942467938;7.945534195708;7.99250247046012;8.88339953309722;9.63846347496256;8.02319436399784;10.3768080478269;7.98702168533853;10.596056343651;8.04417626003871;6.91725335978568;8.54944995646166
ENSMUSG00000000440;2.62272516223903;4.62864292867752;1.90206789159069;1.66780352230866;2.14225256027444;3.90277296872035;4.77482118343512;5.9401346293299;4.31324712178858;1.84214412201292;3.80594993297141;2.6217464820926;4.44704864632829;4.83593724313768;3.27570929099012;5.70286954074984;3.75288796420721;5.59403712226038;3.01652880721379;2.14739555504982;4.40390991643137
ENSMUSG00000020102;4.37799553334902;4.90815475456634;3.28173777427577;4.20413600672809;4.6396699069374;4.95966427724377;5.50672804581103;5.55545129520773;5.77283671163865;4.10608393345208;4.60413050909101;4.37906124573437;5.02485651376422;5.3389830490572;4.68746145123485;5.98080575941939;4.48019087432334;5.62782594397529;4.5346865746915;3.99915065422741;5.6270511512905
ENSMUSG00000032754;5.08121272218407;5.55421251313696;4.36604693535813;4.56939551760312;4.48795528060002;5.52972804948649;5.72346763754686;5.37677092793224;5.5177690878073;4.57872849149459;4.84694813404919;5.60259736464166;5.4810313764148;6.19724473508536;5.34253016388946;6.49084479401694;5.32815748926231;6.47736884065373;5.55579553012455;4.79918993638788;5.19152516403941
ENSMUSG00000001999;4.42357033694644;5.30405664683001;3.62942607746094;3.67909393632032;4.62555130531194;4.87826551988676;5.62700946421774;4.69538068165263;5.53612893299539;4.35167391770875;4.81614666666116;4.50398213525593;5.82431578342594;5.58330938875894;4.73584592809715;6.00061509516172;4.69829375959006;6.34360570480013;4.61234325520371;3.6435722168711;4.87555300825624
ENSMUSG00000004207;11.9015891400902;13.1710180510644;10.5643675972269;10.8041064884009;11.935222864584;12.6194572013942;13.1649011687327;12.0641917450259;12.9879028905934;11.5548242597267;12.0338106132839;12.1264289466212;13.0093900031573;13.980844054014;12.3471966431405;13.9377303501283;12.322996766633;14.4988561864559;12.4322168841426;10.8305646073548;12.3221877888815
ENSMUSG00000039206;6.27462826462931;7.12327378148013;5.33804836052595;5.65681250944895;5.72699782667012;6.81728552788464;7.53633272730822;6.35548483013084;7.25813197331639;5.76267141783168;5.83664702606207;5.86466563333505;6.97893483039446;7.60748052428657;6.42274942585313;8.44066811491579;6.314402528912;8.04095634605958;6.65595656838544;5.54214340410299;6.61232168290407
ENSMUSG00000025877;5.02951358209191;6.66320394054255;3.84185266174952;3.67909393632032;5.10413223965312;6.52183873577434;7.22097355810665;5.10118259873592;6.93119026546491;4.95411711582106;5.59193319055313;7.09379067851002;7.39585243510809;7.84136807073297;5.8331249091116;7.8475547921472;6.31331964207572;8.482861183117;6.38350725739991;4.31163980029638;5.72015011282832
ENSMUSG00000048677;4.29284892770246;5.45428133429105;4.70697497199194;4.2949443641826;3.99507876851369;4.68755508801315;5.23882753216872;4.08888160275633;4.70597120877587;4.19826851869808;4.1730607936966;4.15062653900362;5.02243765086263;5.17821520952141;4.21418822106861;5.96775887623352;4.33408032907565;5.94842186509302;4.53058923755659;4.7285353657176;4.14367214188744
ENSMUSG00000003363;7.68799133328016;8.83218608141446;6.15922802731714;7.08017501177622;7.36312565510003;8.31659629372707;9.60301757155526;7.8791719585742;9.29614447572312;7.75914814284347;8.2439034227384;7.2854086591419;8.99678698985196;10.0106521977412;7.47021163948368;9.80195803567388;7.71381696474335;10.3196362314545;7.77152490704262;6.69440903794333;8.38125649421578
