"PDX"	"K2"
"PDAC014T"	"PDAC014T"	"1"
"PDAC018T"	"PDAC018T"	"1"
"PDAC029T"	"PDAC029T"	"1"
"PDAC013T"	"PDAC013T"	"2"
"PDAC020T"	"PDAC020T"	"2"
"PDAC021T"	"PDAC021T"	"2"
"PDAC003T"	"PDAC003T"	"2"
"PDAC017T"	"PDAC017T"	"1"
"PDAC031T"	"PDAC031T"	"1"
"PDAC009T"	"PDAC009T"	"2"
"PDAC012T"	"PDAC012T"	"1"
"PDAC032T"	"PDAC032T"	"1"
"PDAC028T"	"PDAC028T"	"2"
"PDAC030T"	"PDAC030T"	"1"
"PDAC006T"	"PDAC006T"	"1"
"PDAC027T"	"PDAC027T"	"1"
"PDAC025T"	"PDAC025T"	"1"
"PDAC011T"	"PDAC011T"	"1"
"PDAC016T"	"PDAC016T"	"2"
"PDAC007T"	"PDAC007T"	"1"
"PDAC024T"	"PDAC024T"	"2"
"PDAC008T"	"PDAC008T"	"1"
"PDAC026T"	"PDAC026T"	"1"
"PDAC019T"	"PDAC019T"	"1"
"PDAC015T"	"PDAC015T"	"1"
"PDAC001T"	"PDAC001T"	"2"
"PDAC022T"	"PDAC022T"	"2"
