EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000186891	4	1	8	5	1	11	0	1
ENSG00000160072	606	562	312	234	598	488	367	258
ENSG00000041988	136	205	122	88	114	177	213	224
ENSG00000142611	197	170	175	104	3	2	4	1
ENSG00000067606	88	182	120	108	103	237	80	137
ENSG00000131584	533	452	434	268	395	320	579	317
ENSG00000169972	260	348	180	202	281	340	243	333
ENSG00000157911	273	437	253	250	231	366	287	249
ENSG00000224051	235	309	284	230	192	311	274	357
ENSG00000157933	764	750	996	801	337	385	869	355
ENSG00000162591	4960	3642	4961	2735	675	388	3570	1785
ENSG00000169962	3	7	11	4	3	6	0	6
ENSG00000116285	1582	1669	1075	828	170	265	461	180
ENSG00000142655	500	476	363	315	437	437	548	410
ENSG00000149527	6	6	3	8	7	1	2	5
ENSG00000007923	1326	1036	890	581	917	850	1432	703
ENSG00000171621	649	612	375	295	271	272	428	203
ENSG00000162441	194	191	118	119	87	139	127	91
ENSG00000142583	26	20	84	68	25	12	43	20
ENSG00000107404	1417	1957	1244	922	907	1450	1212	1170
ENSG00000177000	106	62	117	90	74	70	98	51
ENSG00000069424	80	61	78	55	80	68	107	43
ENSG00000074800	35882	22603	20087	14689	27549	17212	32215	17583
ENSG00000116786	1751	1948	1817	1303	1248	1432	2644	2037
ENSG00000176022	359	540	447	351	365	483	421	443
ENSG00000162496	561	646	498	469	734	766	689	828
ENSG00000162494	0	0	3	0	0	2	18	24
ENSG00000173614	170	145	128	84	119	103	180	63
ENSG00000116273	184	150	220	151	141	113	269	103
ENSG00000116254	0	3	2	1	2	1	4	3
ENSG00000049245	528	844	518	470	354	633	532	299
ENSG00000171603	3833	2515	4056	2110	3221	2205	4264	1553
ENSG00000142606	44	57	36	34	24	33	37	43
ENSG00000177674	414	525	310	237	518	722	318	458
ENSG00000162572	16	14	22	13	11	19	17	21
ENSG00000171608	175	153	120	66	364	226	146	73
ENSG00000171729	65	80	44	28	174	177	24	18
ENSG00000158109	814	819	650	499	603	659	1365	698
ENSG00000037637	453	475	393	265	351	318	567	344
ENSG00000184163	47	50	18	18	15	32	9	30
ENSG00000159423	389	281	207	114	158	101	580	284
ENSG00000142599	1083	974	1449	867	517	581	1282	461
ENSG00000011021	127	105	153	113	62	53	154	46
ENSG00000215704	2	2	0	4	2	0	5	1
ENSG00000065526	887	739	1038	643	322	372	1082	448
ENSG00000175756	2054	2498	1053	1107	1506	1780	1808	2024
ENSG00000157916	2050	2354	1518	1156	2606	2965	1547	1382
ENSG00000157881	574	375	436	266	594	386	652	268
ENSG00000116213	318	222	169	151	234	183	352	203
ENSG00000127463	2108	1456	1681	937	1540	1061	1455	573
ENSG00000048707	715	473	682	432	321	300	793	205
ENSG00000158748	2	1	0	2	0	1	0	0
ENSG00000130762	28	26	20	11	3	4	19	10
ENSG00000187144	0	0	0	2	2	2	2	2
ENSG00000162444	0	1	9	0	4	2	3	0
ENSG00000180758	8	11	14	3	7	10	8	7
ENSG00000184677	226	113	188	117	69	78	133	33
ENSG00000132879	85	79	108	63	89	83	127	93
ENSG00000116731	302	282	384	294	178	194	451	127
ENSG00000131697	233	202	191	137	112	84	219	147
ENSG00000088280	345	244	398	247	157	118	644	293
ENSG00000188807	157	139	130	90	108	87	154	48
ENSG00000198793	1381	937	1227	671	734	519	1273	355
ENSG00000142661	8	5	14	7	0	0	7	4
ENSG00000116288	3720	4252	2402	2736	3068	3889	3741	3016
ENSG00000142677	1	5	8	6	0	0	17	6
ENSG00000185436	0	0	5	4	1	1	0	0
ENSG00000169504	5466	4056	6014	3337	3316	2948	7909	789
ENSG00000169641	443	291	451	286	296	259	419	57
ENSG00000181773	2	7	5	2	9	19	3	1
ENSG00000055070	459	999	507	536	269	792	392	334
ENSG00000175087	26	22	29	14	12	10	26	8
ENSG00000171735	253	716	294	413	164	605	377	820
ENSG00000157191	921	885	506	543	767	831	1095	632
ENSG00000133226	1045	770	992	510	551	561	1116	375
ENSG00000162482	9	12	0	1	1	1	4	2
ENSG00000236782	1	2	1	0	1	0	1	0
ENSG00000215910	97	87	113	90	47	67	118	96
ENSG00000116663	33	17	35	38	72	90	19	12
ENSG00000215695	138	99	125	71	109	109	122	38
