EnsemblID	s17AAO2007-Pol	s17AAO2007-tot	s17T-Pol	s17T-tot	sDALJO-Pol	sDALJO-tot	sMAYCL-Pol	sMAYCL-tot
ENSG00000273274	0	1	9	0	0	0	5	1
ENSG00000224321	4	4	2	1	1	2	1	9
ENSG00000233621	38	66	37	34	22	45	29	53
ENSG00000116251	2449	5659	2864	3193	1744	4329	2719	3741
ENSG00000158286	51	63	38	35	35	24	23	22
ENSG00000237276	4	16	5	5	3	12	10	32
ENSG00000227959	1	2	3	2	2	2	0	2
ENSG00000043514	388	349	257	223	239	287	409	186
ENSG00000231789	2	4	0	2	5	12	0	3
ENSG00000162510	0	0	2	2	1	3	2	3
ENSG00000158008	131	152	200	180	239	379	144	216
ENSG00000130940	24	45	12	12	5	5	13	5
ENSG00000116771	51	63	32	23	38	62	22	25
ENSG00000162585	599	1533	650	792	480	1279	811	1835
ENSG00000163879	152	170	172	180	82	104	208	197
ENSG00000127129	1	1	0	2	0	0	1	0
ENSG00000010803	362	722	358	354	227	589	179	343
ENSG00000169991	469	344	445	275	347	315	468	207
ENSG00000116954	689	699	642	506	460	521	1191	790
ENSG00000117013	4	16	27	30	5	2	60	83
ENSG00000228589	609	554	537	454	595	539	634	393
ENSG00000196449	222	272	153	152	235	293	265	189
ENSG00000250575	32	41	36	26	16	28	24	63
ENSG00000253368	214	326	622	577	477	778	872	1233
ENSG00000179862	82	108	134	100	88	99	111	189
ENSG00000116661	12	10	24	6	29	22	8	0
ENSG00000287400	3	4	0	0	0	1	0	0
ENSG00000162461	2	4	7	1	1	0	0	7
ENSG00000179051	2326	2027	1714	1208	1092	907	2255	1394
ENSG00000215895	3	6	5	4	5	3	3	2
ENSG00000053372	787	742	395	360	617	647	594	400
ENSG00000126067	2354	2105	998	946	1618	1453	1897	1371
ENSG00000066136	938	766	549	503	596	579	1053	915
ENSG00000132906	169	143	96	78	75	79	254	147
ENSG00000197312	469	320	470	271	204	223	642	217
ENSG00000272078	3	3	1	1	0	1	2	2
ENSG00000173660	890	2575	931	1193	772	2188	809	1961
ENSG00000224592	1	2	5	1	2	0	0	1
ENSG00000092847	886	668	807	521	464	482	1022	617
ENSG00000241014	1	3	4	4	3	0	2	3
ENSG00000054118	2548	1869	2862	1544	1327	960	3531	1424
ENSG00000230415	0	0	1	2	0	1	0	0
ENSG00000237749	1	4	0	1	0	10	1	9
ENSG00000287828	12	23	10	7	5	6	5	7
ENSG00000228526	21	18	13	17	9	29	13	24
ENSG00000162373	5	8	13	13	6	5	7	11
ENSG00000197982	553	1311	529	684	556	1230	600	1432
ENSG00000232022	1	0	0	0	0	1	0	1
ENSG00000183386	1074	1190	758	709	570	735	671	968
ENSG00000158315	26	14	32	16	31	31	10	4
ENSG00000243749	13	12	14	10	15	26	26	15
ENSG00000204084	349	282	277	180	113	132	345	174
ENSG00000286064	16	8	3	7	6	3	14	6
ENSG00000186973	0	2	1	1	0	2	0	0
ENSG00000272084	4	9	9	7	6	9	3	6
ENSG00000146463	1297	1208	1312	826	808	929	1443	619
ENSG00000183520	1015	832	557	476	719	612	750	350
ENSG00000090686	1577	1030	1218	672	1067	666	1782	543
ENSG00000085998	1329	1883	1753	1184	1715	2461	1368	1523
ENSG00000211454	0	1	0	0	0	0	1	1
ENSG00000142686	560	602	510	378	373	431	644	427
ENSG00000117148	0	1	1	0	1	0	1	1
ENSG00000127125	581	803	430	471	470	635	842	591
ENSG00000197429	176	133	179	132	98	103	203	79
ENSG00000117000	336	312	463	232	236	183	545	173
ENSG00000178585	242	395	265	233	197	358	276	364
ENSG00000092853	276	181	146	68	103	117	114	33
ENSG00000198754	41	48	42	37	35	49	5	2
ENSG00000134697	1566	1181	1443	894	1842	1272	1603	579
ENSG00000187513	0	0	0	1	0	0	5	15
ENSG00000225028	0	0	1	3	0	0	4	4
ENSG00000225671	23	28	22	13	16	13	35	9
ENSG00000116151	49	74	28	33	38	47	35	18
ENSG00000182873	12	13	18	11	14	27	17	15
ENSG00000286518	6	6	6	7	0	1	13	21
ENSG00000178715	1	2	4	5	2	5	2	30
ENSG00000236111	1	2	0	1	0	1	0	1
ENSG00000066056	2	1	1	1	7	1	0	0
ENSG00000214114	113	221	98	109	95	193	114	117
ENSG00000173436	131	293	158	200	93	258	183	315
ENSG00000116544	1	1	4	1	0	3	0	4
ENSG00000204060	19	23	12	3	0	2	1	5
ENSG00000232467	1	1	0	0	0	1	0	0
ENSG00000117016	32	34	67	62	1	3	25	23
ENSG00000121310	197	238	168	177	151	203	310	318
ENSG00000169213	2074	1502	2505	1377	4516	5296	2813	1408
ENSG00000163866	465	706	347	354	293	518	434	540
ENSG00000236546	7	5	1	4	2	15	8	23
ENSG00000228436	4	11	7	12	2	5	6	31
ENSG00000171793	2586	1748	1446	954	3252	2142	1770	742
ENSG00000116990	5	14	7	4	14	8	6	3
ENSG00000143001	0	0	2	0	2	2	1	0
ENSG00000236876	76	273	138	230	73	232	274	651
ENSG00000274386	1	0	1	0	0	2	0	4
ENSG00000117419	1339	1396	869	882	838	1081	1446	1510
ENSG00000162384	916	996	430	498	520	633	675	659
ENSG00000162391	1	0	0	0	2	3	0	2
ENSG00000174348	828	785	4316	3041	1634	1422	6463	4166
ENSG00000117859	2220	2088	1548	1019	1099	1143	2078	1093
ENSG00000040487	307	274	241	192	260	259	287	279
ENSG00000162396	107	72	86	73	51	64	131	73
ENSG00000203995	8	6	3	6	21	18	10	1
ENSG00000117713	1507	1219	1557	1126	885	666	1785	1123
ENSG00000177868	66	212	107	127	46	144	80	179
ENSG00000284686	1	1	2	0	1	1	0	0
ENSG00000162378	1037	882	1161	643	543	607	1286	558
ENSG00000162599	497	406	736	495	119	113	1231	1095
ENSG00000240563	0	2	0	0	1	1	0	0
ENSG00000284773	3	8	5	4	5	9	10	2
ENSG00000117862	137	252	133	131	115	184	148	104
ENSG00000162551	3776	3347	687	495	443	404	15	20
ENSG00000183431	2588	1619	1507	983	1836	1150	2183	889
ENSG00000224609	0	1	2	1	0	0	1	1
ENSG00000235545	19	20	23	10	6	17	6	8
ENSG00000169174	125	78	146	77	18	4	266	99
ENSG00000243725	49	39	24	17	39	18	38	7
ENSG00000116985	4	8	2	2	1	5	5	2
ENSG00000134716	5	1	4	0	1	0	0	1
ENSG00000171872	2	5	0	0	4	3	0	0
ENSG00000162407	2230	1718	7061	4231	589	484	2784	1055
ENSG00000169218	0	0	1	1	0	1	1	0
ENSG00000163877	522	367	467	298	305	229	563	221
ENSG00000228929	16	26	6	13	10	24	11	23
ENSG00000157184	218	156	199	117	166	103	338	173
ENSG00000198815	750	581	808	475	497	472	1015	502
ENSG00000134744	543	480	523	232	280	224	484	163
ENSG00000162437	179	210	317	198	92	101	144	71
ENSG00000184292	37	32	35	30	109	72	259	158
ENSG00000226754	2	4	5	3	1	1	6	10
ENSG00000186409	6	7	13	5	1	3	13	9
ENSG00000162595	10	5	13	6	86	68	3	2
ENSG00000171357	10	26	13	13	15	7	10	13
ENSG00000162385	418	404	224	185	353	309	297	213
ENSG00000234264	1	4	0	0	0	6	0	0
ENSG00000086015	1573	1477	941	762	840	962	1319	918
ENSG00000184588	26	20	9	10	108	132	2	0
ENSG00000117472	5	10	7	6	4	2	6	6
ENSG00000123080	454	705	199	188	126	233	266	351
ENSG00000077549	11854	9940	5978	5675	7380	6765	10879	7350
ENSG00000162415	14	6	9	4	28	34	5	11
ENSG00000229133	1	2	1	1	0	1	0	2
ENSG00000185483	1623	1175	3789	2110	91	98	4935	1841
ENSG00000162600	212	203	192	128	138	95	166	109
ENSG00000116704	296	276	279	152	470	542	127	53
ENSG00000157193	233	172	199	108	293	263	112	41
ENSG00000116205	125	116	90	62	71	78	139	84
ENSG00000198841	97	119	83	87	99	98	149	112
ENSG00000116212	1024	828	839	641	801	617	1778	1033
