Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PDAC200T_F8_9_R1	PDAC200T_F8_9_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61669965.0	0.0	75.0	62.0	18.64744309221618	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	pass
PDAC200T_F8_9_R2	PDAC200T_F8_9_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61669965.0	0.0	75.0	62.0	19.188273401113438	75.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
PDAC200T_R1	PDAC200T_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82525585.0	0.0	75.0	47.0	55.37024827266311	75.0	pass	pass	warn	pass	warn	warn	pass	pass	warn	warn	pass
PDAC200T_R2	PDAC200T_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82525585.0	0.0	75.0	47.0	54.881455044454576	75.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
PDAC201T_F8-9_R1	PDAC201T_F8-9_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71097858.0	0.0	75.0	58.0	26.960334248513355	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
PDAC201T_F8-9_R2	PDAC201T_F8-9_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71097858.0	0.0	75.0	58.0	26.067889513784596	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
PDAC201T_R1	PDAC201T_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143142324.0	0.0	75.0	51.0	33.036948492187854	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
PDAC201T_R2	PDAC201T_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	143142324.0	0.0	75.0	52.0	33.63348579369416	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC202T_F8_9_R1	PDAC202T_F8_9_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47398615.0	0.0	75.0	49.0	51.61056837555746	75.0	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	pass
PDAC202T_F8_9_R2	PDAC202T_F8_9_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47398615.0	0.0	75.0	49.0	49.25108046491896	75.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
PDAC202T_R1	PDAC202T_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110213236.0	0.0	75.0	48.0	40.45663571634798	75.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	pass
PDAC202T_R2	PDAC202T_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110213236.0	0.0	75.0	48.0	40.33961497074706	75.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
PDAC203T_F8-9_R1	PDAC203T_F8-9_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92757784.0	0.0	75.0	60.0	17.01597350426254	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
PDAC203T_F8-9_R2	PDAC203T_F8-9_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92757784.0	0.0	75.0	61.0	17.620138048869	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass
PDAC203T_R1	PDAC203T_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83460141.0	0.0	75.0	48.0	49.31899246395863	75.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	pass
PDAC203T_R2	PDAC203T_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83460141.0	0.0	75.0	48.0	49.4108141806266	75.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	pass
PDAC204T_F8_9_R1	PDAC204T_F8_9_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51140897.0	0.0	75.0	59.0	25.627539466562236	75.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	pass
PDAC204T_F8_9_R2	PDAC204T_F8_9_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51140897.0	0.0	75.0	60.0	25.723138413712427	75.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
PDAC204T_R1	PDAC204T_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97037355.0	0.0	75.0	49.0	42.069222010402925	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
PDAC204T_R2	PDAC204T_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97037355.0	0.0	75.0	49.0	41.20144596335104	75.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
PDAC205T_F8-9_R1_fastq	PDAC205T_F8-9_R1_fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64095503.0	0.0	75.0	54.0	36.093456510705465	75.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
PDAC205T_F8-9_R2_fastq	PDAC205T_F8-9_R2_fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64095503.0	0.0	75.0	54.0	34.401534492394504	75.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
