Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PDAC200T_F8_9_R1	2.3098910466383433	16.267405048794828
PDAC200T_F8_9_R2	1.9483665995270145	17.717430194747156
PDAC200T_R1	0.2940724382626309	1.8088620638072421
PDAC200T_R2	0.22318775444003214	0.9165278864730254
PDAC201T_F8-9_R1	2.4311196548284197	5.018108984380373
PDAC201T_F8-9_R2	0.9543888087317624	5.61714812842885
PDAC201T_R1	0.8623522138707207	6.3366904675936375
PDAC201T_R2	0.25144624590557857	3.969135641531152
PDAC202T_F8_9_R1	0.0	0.0
PDAC202T_F8_9_R2	0.0	0.0
PDAC202T_R1	0.447700310695895	1.354037005137931
PDAC202T_R2	0.1426815922544911	0.1256600432274759
PDAC203T_F8-9_R1	3.6471117076276856	9.85346307971307
PDAC203T_F8-9_R2	1.4050993283755033	12.47106442301381
PDAC203T_R1	0.48479069787337165	3.2122351674435827
PDAC203T_R2	0.197526625314472	1.3942188283626311
PDAC204T_F8_9_R1	1.7974498961173873	7.919984274034148
PDAC204T_F8_9_R2	1.2876719780648354	10.659060203813002
PDAC204T_R1	0.5561095518318693	2.5489750828430973
PDAC204T_R2	0.21913004533151179	0.9030924225005929
PDAC205T_F8-9_R1_fastq	1.7502569564045702	1.468435312848703
PDAC205T_F8-9_R2_fastq	0.624352694447222	0.4718349741322725
PDAC205T_R1_fastq	1.202176571590638	6.852264015301234
PDAC205T_R2_fastq	0.37510658698022376	4.367148707594298
PDAC206T_F8-9_R1_fastq	1.9453998526159526	0.4872565790050545
PDAC206T_F8-9_R2_fastq	0.5836414000493314	0.5361185271202277
PDAC206T_R1_fastq	0.6385776555968532	2.3833639785414062
PDAC206T_R2_fastq	0.3560752868864691	2.330204482682923
PDAC207T_F8-9_R1_fastq	0.810665935003775	8.098705193570652
PDAC207T_F8-9_R2_fastq	0.7001041811838625	8.62932491799992
PDAC207T_R1_fastq	0.7183662907250535	6.492847071605721
PDAC207T_R2_fastq	0.3615505971273444	5.652016925350385
PDAC208T_F8-9_R1_fastq	6.5118011987717415	6.939328267482746
PDAC208T_F8-9_R2_fastq	1.9759665458510083	9.727275655648508
PDAC208T_R1_fastq	0.8275775055583255	3.9157068836017555
PDAC208T_R2_fastq	0.253711198213943	1.468649616357123
PDAC209T_F8_9_R1	0.3042234583870003	1.203444773531384
PDAC209T_F8_9_R2	0.15075110384596732	0.10560823483445184
PDAC209T_R1	0.43986010470300035	2.635655329140165
PDAC209T_R2	0.2458069742676278	1.1672838465817916
PDAC210T_F8-9_R1_fastq	4.813197299917782	6.13640018913674
PDAC210T_F8-9_R2_fastq	1.4629494984473135	6.659529251628218
PDAC210T_R1_fastq	0.8808649334111589	4.447745283798622
