sample	number	origin	fraction	IG_RIN	Yield
s17AAO2007-Pol	CAF31	s17AAO2007	Polysome	10	4830
s17AAO2007-tot	CAF31	s17AAO2007	Total	9.8	5001
s17T-Pol	CAF2	s17T	Polysome	10	4322
s17T-tot	CAF2	s17T	Total	8.8	3407
sDALJO-Pol	CAF20	sDALJO	Polysome	10	3771
sDALJO-tot	CAF20	sDALJO	Total	9.7	4237
sMAYCL-Pol	CAF1	sMAYCL	Polysome	10	5538
sMAYCL-tot	CAF1	sMAYCL	Total	8.3	4106
