Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC200Tkf1_fwd	42.970882710031646	46.0	74.98958644627987	0.0	79135233.0
PDAC200Tkf1_rev	43.44827355636285	46.0	74.98958644627987	9.090909090909092	79135233.0
PDAC201Tkf1_fwd	64.75794616555481	50.0	74.98763809309516	27.27272727272727	132564014.0
PDAC201Tkf1_rev	64.34284160706042	51.0	74.98763809309516	18.181818181818183	132564014.0
PDAC202Tkf1_fwd	54.884742090519985	47.0	74.99151866001345	9.090909090909092	96951779.0
PDAC202Tkf1_rev	55.20913751305947	47.0	74.99151866001345	18.181818181818183	96951779.0
PDAC203Tkf1_fwd	48.31288304856452	47.0	74.98062336206168	9.090909090909092	78662150.0
PDAC203Tkf1_rev	48.31686921203403	47.0	74.98062336206168	18.181818181818183	78662150.0
PDAC204Tkf1_fwd	54.70882053347324	48.0	74.989899895542	18.181818181818183	89037693.0
PDAC204Tkf1_rev	55.65481618561146	48.0	74.989899895542	27.27272727272727	89037693.0
PDAC205Tkf1_fwd	59.6212097317444	49.0	74.98494319528946	27.27272727272727	74379659.0
PDAC205Tkf1_rev	56.546202681037535	49.0	74.98494319528946	18.181818181818183	74379659.0
PDAC206Tkf1_fwd	68.44829406815182	48.0	74.96484434507674	9.090909090909092	147197400.0
PDAC206Tkf1_rev	69.0910473680755	49.0	74.96484434507674	9.090909090909092	147197400.0
PDAC207Tkf1_fwd	47.86754093757466	51.0	74.97416441899935	9.090909090909092	68118770.0
PDAC207Tkf1_rev	47.959210486526736	51.0	74.97416441899935	9.090909090909092	68118770.0
PDAC208Tkf1_fwd	59.75487369556881	49.0	74.97497742031335	18.181818181818183	93797803.0
PDAC208Tkf1_rev	55.741945030696975	49.0	74.97497742031335	27.27272727272727	93797803.0
PDAC209Tkf1_fwd	58.42676753487948	48.0	74.98195764545132	27.27272727272727	77026532.0
PDAC209Tkf1_rev	58.49386366111051	49.0	74.98195764545132	18.181818181818183	77026532.0
PDAC210Tkf1_fwd	59.832837452062456	48.0	74.9895546211758	27.27272727272727	70654594.0
PDAC210Tkf1_rev	56.17287147733768	49.0	74.9895546211758	18.181818181818183	70654594.0
PDAC211Tkf1_fwd	58.918092551035286	46.0	74.98552743308088	27.27272727272727	105995295.0
PDAC211Tkf1_rev	58.99188789527189	47.0	74.98552743308088	27.27272727272727	105995295.0
PDAC213Tkf1_fwd	61.51405048813853	50.0	74.98542663841351	27.27272727272727	97231376.0
PDAC213Tkf1_rev	62.376319542194594	51.0	74.98542663841351	18.181818181818183	97231376.0
PDAC214Tkf1_fwd	52.165308364972134	50.0	74.98065208500869	27.27272727272727	50909620.0
PDAC214Tkf1_rev	52.847042266528284	50.0	74.98065208500869	36.36363636363637	50909620.0
PDAC215Tkf1_fwd	59.37839382985638	51.0	74.97650440125257	27.27272727272727	102194544.0
PDAC215Tkf1_rev	59.104800863193276	51.0	74.97650440125257	27.27272727272727	102194544.0
PDAC216Tkf1_fwd	58.103436859118446	49.0	74.99084825544416	18.181818181818183	88904033.0
PDAC216Tkf1_rev	58.372602632857465	49.0	74.99084825544416	18.181818181818183	88904033.0
PDAC217Tkf1_fwd	63.38659850544145	51.0	74.98861726238334	27.27272727272727	68414122.0
PDAC217Tkf1_rev	63.52336588441462	52.0	74.98861726238334	18.181818181818183	68414122.0
PDAC218Tkf1_fwd	70.72254729646322	50.0	74.99118146313351	27.27272727272727	76854586.0
PDAC218Tkf1_rev	70.35838505862988	51.0	74.99118146313351	18.181818181818183	76854586.0
PDAC219Tkf1_fwd	58.03082892613984	50.0	74.98843283035694	27.27272727272727	100113514.0
PDAC219Tkf1_rev	58.91144349769627	50.0	74.98843283035694	27.27272727272727	100113514.0
PDAC220Tkf1_fwd	63.44837947220363	50.0	74.99099240724293	27.27272727272727	93598148.0
PDAC220Tkf1_rev	63.55021359467484	50.0	74.99099240724293	27.27272727272727	93598148.0
PDAC221Tkf1_fwd	66.78823969418033	51.0	74.99014017181034	27.27272727272727	82491194.0
PDAC221Tkf1_rev	64.17761948265411	52.0	74.99014017181034	18.181818181818183	82491194.0
PDAC222Tkf1_fwd	67.40230296884948	50.0	74.98834147662816	18.181818181818183	91310706.0
PDAC222Tkf1_rev	69.65537136839275	50.0	74.98834147662816	27.27272727272727	91310706.0
PDAC223Tkf1_fwd	56.44744294634796	49.0	74.98882405874845	27.27272727272727	80199151.0
PDAC223Tkf1_rev	57.57043584360357	49.0	74.98882405874845	18.181818181818183	80199151.0
PDAC224Tkf1_fwd	65.64223186525601	50.0	74.99120407809532	27.27272727272727	78365407.0
PDAC224Tkf1_rev	65.39673018981014	51.0	74.99120407809532	27.27272727272727	78365407.0
PDAC225Tkf1_fwd	58.1174074746712	49.0	74.99067616912727	18.181818181818183	89895453.0
PDAC225Tkf1_rev	58.269949820480875	50.0	74.99067616912727	27.27272727272727	89895453.0
PDAC226Tkf1_fwd	61.345117641987	51.0	74.98818745679954	27.27272727272727	104745691.0
PDAC226Tkf1_rev	60.76831793996018	51.0	74.98818745679954	18.181818181818183	104745691.0
PDAC227Tkf1_fwd	53.36646394128136	49.0	74.9883427031535	27.27272727272727	44475062.0
PDAC227Tkf1_rev	54.90570932669445	50.0	74.9883427031535	27.27272727272727	44475062.0
